zipcode,avg_price,avg_review,frequency
94014,133.32432432432432,2.4578571428571423,37
94080,180.0,5.08,1
94102,166.96534653465346,1.0824324324324328,404
94103,207.89411764705883,1.86486394557823,425
94104,651.1666666666666,0.43000000000000005,12
94105,268.15833333333336,0.44666666666666666,120
94107,219.95687331536388,1.5995470383275256,371
94108,197.0660792951542,1.1468421052631586,227
94109,241.2239685658153,1.4174358974358974,509
94110,215.5814696485623,1.7849940828402366,939
94111,157.5,1.3890909090909092,46
94112,131.21470588235294,2.2329073482428132,340
94114,239.98363338788872,1.7703333333333338,611
94115,286.4952076677316,1.4531225296442687,313
94116,173.91370558375635,3.2341954022988513,197
94117,219.21669341894062,1.7017408123791107,623
94118,223.33658536585367,2.111381215469613,205
94121,211.98342541436463,2.665068493150684,181
94122,172.75786163522014,2.7734965034965016,318
94123,321.60849056603774,1.3016883116883113,212
94124,118.84967320261438,2.5900806451612906,153
94127,188.8034188034188,2.0400961538461537,117
94131,216.44927536231884,2.046877637130803,276
94132,125.76623376623377,2.028823529411765,77
94133,276.94017094017096,1.800319148936171,234
94134,130.39655172413794,3.1174074074074074,116
94158,223.90804597701148,1.2185000000000001,87
